Specimen Collection Date,Case Disposition,Transmission Category,Case Count,Last Updated At
2020/07/01,Confirmed,Community,40,07/23/2020 03:15:02 PM
2020/07/02,Confirmed,From Contact,35,07/23/2020 03:15:02 PM
2020/07/02,Confirmed,Unknown,15,07/23/2020 03:15:02 PM
2020/07/02,Confirmed,Community,52,07/23/2020 03:15:02 PM
2020/07/03,Confirmed,Community,42,07/23/2020 03:15:02 PM
2020/07/03,Confirmed,From Contact,21,07/23/2020 03:15:02 PM
2020/07/03,Confirmed,Unknown,21,07/23/2020 03:15:02 PM
2020/07/04,Confirmed,From Contact,6,07/23/2020 03:15:02 PM
2020/07/04,Confirmed,Unknown,4,07/23/2020 03:15:02 PM
2020/07/04,Confirmed,Community,16,07/23/2020 03:15:02 PM
2020/07/05,Confirmed,Community,24,07/23/2020 03:15:02 PM
2020/07/05,Confirmed,From Contact,18,07/23/2020 03:15:02 PM
2020/07/05,Confirmed,Unknown,6,07/23/2020 03:15:02 PM
2020/07/06,Confirmed,From Contact,35,07/23/2020 03:15:02 PM
2020/07/06,Confirmed,Community,45,07/23/2020 03:15:02 PM
2020/07/06,Confirmed,Unknown,4,07/23/2020 03:15:02 PM
2020/07/06,Death,Community,1,07/23/2020 03:15:02 PM
2020/07/07,Confirmed,From Contact,38,07/23/2020 03:15:02 PM
2020/07/07,Confirmed,Unknown,5,07/23/2020 03:15:02 PM
2020/07/07,Confirmed,Community,53,07/23/2020 03:15:02 PM
2020/07/08,Confirmed,Community,59,07/23/2020 03:15:02 PM
2020/07/08,Confirmed,From Contact,49,07/23/2020 03:15:02 PM
2020/07/08,Confirmed,Unknown,6,07/23/2020 03:15:02 PM
2020/07/09,Confirmed,Unknown,6,07/23/2020 03:15:02 PM
2020/07/09,Confirmed,Community,56,07/23/2020 03:15:02 PM
2020/07/09,Confirmed,From Contact,40,07/23/2020 03:15:02 PM
2020/07/10,Confirmed,Unknown,6,07/23/2020 03:15:02 PM
2020/07/10,Confirmed,From Contact,56,07/23/2020 03:15:02 PM
2020/07/10,Confirmed,Community,55,07/23/2020 03:15:02 PM
2020/07/11,Confirmed,From Contact,25,07/23/2020 03:15:02 PM
2020/07/11,Confirmed,Community,35,07/23/2020 03:15:02 PM
2020/07/12,Confirmed,Community,45,07/23/2020 03:15:02 PM
2020/07/12,Death,Community,1,07/23/2020 03:15:02 PM
2020/07/12,Confirmed,From Contact,17,07/23/2020 03:15:02 PM
2020/07/13,Confirmed,Community,67,07/23/2020 03:15:02 PM
2020/07/13,Death,Community,1,07/23/2020 03:15:02 PM
2020/07/13,Confirmed,Unknown,4,07/23/2020 03:15:02 PM
2020/07/13,Confirmed,From Contact,64,07/23/2020 03:15:02 PM
2020/07/14,Confirmed,Unknown,16,07/23/2020 03:15:02 PM
2020/07/14,Confirmed,From Contact,63,07/23/2020 03:15:02 PM
2020/07/14,Death,Community,1,07/23/2020 03:15:02 PM
2020/07/14,Confirmed,Community,70,07/23/2020 03:15:02 PM
2020/07/15,Confirmed,Community,72,07/23/2020 03:15:02 PM
2020/07/15,Confirmed,Unknown,17,07/23/2020 03:15:02 PM
2020/07/15,Confirmed,From Contact,50,07/23/2020 03:15:02 PM
2020/07/16,Death,Unknown,1,07/23/2020 03:15:02 PM
2020/07/16,Confirmed,From Contact,49,07/23/2020 03:15:02 PM
2020/07/16,Confirmed,Community,56,07/23/2020 03:15:02 PM
2020/07/16,Confirmed,Unknown,17,07/23/2020 03:15:02 PM
2020/07/17,Confirmed,Community,45,07/23/2020 03:15:02 PM
2020/07/17,Confirmed,Unknown,16,07/23/2020 03:15:02 PM
2020/07/17,Confirmed,From Contact,40,07/23/2020 03:15:02 PM
2020/07/18,Confirmed,Unknown,2,07/23/2020 03:15:02 PM
2020/07/18,Death,From Contact,1,07/23/2020 03:15:02 PM
2020/07/18,Confirmed,Community,17,07/23/2020 03:15:02 PM
2020/07/18,Confirmed,From Contact,19,07/23/2020 03:15:02 PM
2020/07/19,Confirmed,Community,8,07/23/2020 03:15:02 PM
2020/07/19,Confirmed,From Contact,9,07/23/2020 03:15:02 PM
2020/07/19,Confirmed,Unknown,12,07/23/2020 03:15:02 PM
2020/07/20,Confirmed,Community,14,07/23/2020 03:15:02 PM
2020/07/20,Confirmed,From Contact,8,07/23/2020 03:15:02 PM
2020/07/20,Confirmed,Unknown,18,07/23/2020 03:15:02 PM
2020/07/21,Confirmed,From Contact,2,07/23/2020 03:15:02 PM
2020/07/21,Confirmed,Community,2,07/23/2020 03:15:02 PM
2020/07/21,Confirmed,Unknown,11,07/23/2020 03:15:02 PM
